Complaint ID,Customer ID,Product/Service,Complaint Category,Date Filed,Date Resolved,Status,Resolution Time (Days)
820407,28631,Insurance Plan,Delivery,2024-05-24,2024-06-11 00:00:00,Resolved,18.0
262537,23083,Digital Scale,Product Quality,2024-06-30,2024-07-28 00:00:00,Resolved,28.0
459273,52729,Digital Scale,Service,2024-05-10,2024-05-20 00:00:00,Resolved,10.0
271580,63115,Personal Safe,Delivery,2023-10-26,Unresolved,Unresolved,0.0
282178,17532,Fitness Tracker,Product Quality,2024-07-18,2024-08-16 00:00:00,Resolved,29.0
608969,98598,Customer Support Service,Delivery,2023-11-12,2023-11-20 00:00:00,Resolved,8.0
425538,86606,Cloud Storage,Product Quality,2024-02-07,2024-02-27 00:00:00,Resolved,20.0
630128,19045,Fitness Tracker,Service,2024-08-12,Unresolved,Unresolved,0.0
588941,18285,Digital Scale,Service,2024-08-24,2024-08-28 00:00:00,Resolved,4.0
921215,73034,Insurance Plan,Billing,2023-12-05,2024-01-03 00:00:00,Resolved,29.0
655434,96496,Home Security System,Product Quality,2024-02-19,2024-03-10 00:00:00,Resolved,20.0
776011,54527,Home Security System,Delivery,2023-10-31,2023-11-09 00:00:00,Resolved,9.0
226694,34562,Home Security System,Technical Support,2023-12-01,2023-12-11 00:00:00,Resolved,10.0
704514,40651,Home Security System,Service,2024-02-20,Unresolved,Unresolved,0.0
381559,54129,Personal Safe,Technical Support,2024-03-11,2024-03-23 00:00:00,Resolved,12.0
866567,66699,Digital Scale,Technical Support,2023-12-26,2023-12-30 00:00:00,Resolved,4.0
902524,55819,Digital Scale,Service,2024-07-02,2024-07-11 00:00:00,Resolved,9.0
593413,85069,Home Security System,Billing,2023-12-31,Unresolved,Unresolved,0.0
100216,73029,Weight Loss Program,Billing,2024-05-16,2024-05-23 00:00:00,Resolved,7.0
807469,43859,Weight Loss Program,Delivery,2023-11-15,2023-12-05 00:00:00,Resolved,20.0
640416,10972,Cloud Storage,Technical Support,2024-03-30,2024-04-14 00:00:00,Resolved,15.0
300152,52757,Digital Scale,Service,2023-09-16,2023-10-03 00:00:00,Resolved,17.0
307163,14924,Cloud Storage,Technical Support,2023-09-01,2023-09-27 00:00:00,Resolved,26.0
763821,15817,Digital Scale,Product Quality,2024-05-27,Unresolved,Unresolved,0.0
569103,74656,Weight Loss Program,Delivery,2024-03-28,2024-04-12 00:00:00,Resolved,15.0
177124,38208,Home Security System,Delivery,2023-09-02,2023-09-29 00:00:00,Resolved,27.0
178158,16647,Insurance Plan,Product Quality,2024-03-24,Unresolved,Unresolved,0.0
807802,33971,Home Security System,Delivery,2024-01-07,Unresolved,Unresolved,0.0
838416,18804,Home Security System,Service,2023-12-25,2024-01-09 00:00:00,Resolved,15.0
945182,77685,Fitness Tracker,Product Quality,2023-11-15,2023-11-24 00:00:00,Resolved,9.0
788707,21357,Drone Delivery Service,Technical Support,2023-11-13,2023-12-12 00:00:00,Resolved,29.0
355701,47102,Home Security System,Product Quality,2024-04-25,2024-05-25 00:00:00,Resolved,30.0
